date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:10	86511/86511	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/ABRIL2010.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/ABRIL2010.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:11	78214/78214	---M--	200	added ('OK')	application/pdf	etag:%220a3731d7c8fd21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/OCTUBRE2010.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/OCTUBRE2010.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:11	49980/49980	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/NOVIEMBRE2010.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2010/NOVIEMBRE2010.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:13	77716/77716	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/ABRIL2009.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/ABRIL2009.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:13	27229/27229	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/MAYO2009.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/MAYO2009.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:14	84763/84763	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/OCTUBRE2009.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2009/OCTUBRE2009.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:15	118552/118552	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2008/ABRIL2008.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2008/ABRIL2008.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:16	77445/77445	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2008/OCTUBRE2008.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2008/OCTUBRE2008.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:17	10031/10031	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.eot	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.eot	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:18	10031/10031	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.eot?	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfontd41d.eot	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:18	11632/11632	---M--	200	added ('OK')	font/x-woff	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.woff	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.woff	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:19	9674862/9674862	---M--	200	added ('OK')	application/pdf	etag:%22802f8ab3791d21:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/graduados/2016/JUNIO2016.PDF	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/graduados/2016/JUNIO2016.pdf	(from https://registroacademico.catolica.edu.sv/Home/historico_grad)
10:09:19	21736/21736	---M--	200	added ('OK')	application/octet-stream	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.ttf	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.ttf	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:20	20581/20581	---M--	200	added ('OK')	image/svg+xml	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.svg	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/css/fonts/BebasNeue-webfont.svg	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:21	5392/5392	---M--	200	added ('OK')	image/jpeg	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/images/bgnoise_lg.jpg	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/images/bgnoise_lg.jpg	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/demo.css)
10:09:21	1083/1083	---M--	200	added ('OK')	image/png	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/images/arrow_down.png	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/images/arrow_down.png	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/style.css)
10:09:22	1056/1056	---M--	200	added ('OK')	image/png	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/images/arrow_up.png	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/images/arrow_up.png	(from https://registroacademico.catolica.edu.sv/rsc/Facultades/css/style.css)
10:09:23	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280efd3b02be9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?v=4.6.3	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.eot	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
10:09:24	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2280efd3b02be9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.eot?	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfontd41d.eot	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
10:09:24	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202023%2016:22:59%20GMT	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.755b62.delayed	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
10:09:25	90412/90412	---M--	200	added ('OK')	font/x-woff	etag:%2280efd3b02be9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.woff?v=4.6.3	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.woff	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
10:09:26	152796/152796	---M--	200	added ('OK')	application/octet-stream	etag:%2280efd3b02be9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.ttf	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
10:09:27	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%2280efd3b02be9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont.svg?v=4.6.3	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/fonts/fontawesome-webfont5b62.svg	(from https://registroacademico.catolica.edu.sv/rsc/font-awesome-4.6.3/css/font-awesome.css)
